,Experiment name:,Sample experiment
Duration:,1 0,
Rate:,20 per second,
Sensors:,Respiration (ID 1  Exp 1),
Range:,Arb,
Units:,Arb,
Time,Count,
'0:0:47.6,5732,
'0:0:47.65,5725,
'0:0:47.7,5717,
'0:0:47.75,5709,
'0:0:47.8,5704,
'0:0:47.85,5698,
'0:0:47.9,5692,
'0:0:47.95,5687,
'0:0:48.0,5684,
'0:0:48.05,5683,
'0:0:48.1,5683,
'0:0:48.15,5681,
'0:0:48.2,5679,
'0:0:48.25,5677,
'0:0:48.3,5676,
'0:0:48.35,5677,
'0:0:48.4,5677,
'0:0:48.45,5676,
'0:0:48.5,5676,
'0:0:48.55,5678,
'0:0:48.6,5681,
'0:0:48.65,5685,
'0:0:48.7,5688,
'0:0:48.75,5689,
'0:0:48.8,5691,
'0:0:48.85,5693,
'0:0:48.9,5695,
'0:0:48.95,5695,
'0:0:49.0,5695,
'0:0:49.05,5699,
'0:0:49.1,5706,
'0:0:49.15,5715,
'0:0:49.2,5724,
'0:0:49.25,5733,
'0:0:49.3,5740,
'0:0:49.35,5749,
'0:0:49.4,5758,
'0:0:49.45,5767,
'0:0:49.5,5775,
'0:0:49.55,5783,
'0:0:49.6,5793,
'0:0:49.65,5809,
'0:0:49.7,5825,
'0:0:49.75,5841,
'0:0:49.8,5854,
'0:0:49.85,5867,
'0:0:49.9,5878,
'0:0:49.95,5890,
'0:0:50.0,5901,
'0:0:50.05,5910,
'0:0:50.1,5915,
'0:0:50.15,5915,
'0:0:50.2,5911,
'0:0:50.25,5906,
'0:0:50.3,5900,
'0:0:50.35,5891,
'0:0:50.4,5879,
'0:0:50.45,5868,
'0:0:50.5,5859,
'0:0:50.55,5848,
'0:0:50.6,5836,
'0:0:50.65,5825,
'0:0:50.7,5820,
'0:0:50.75,5818,
'0:0:50.8,5814,
'0:0:50.85,5806,
'0:0:50.9,5795,
'0:0:50.95,5781,
'0:0:51.0,5771,
'0:0:51.05,5762,
'0:0:51.1,5754,
'0:0:51.15,5745,
'0:0:51.2,5738,
'0:0:51.25,5734,
'0:0:51.3,5731,
'0:0:51.35,5727,
'0:0:51.4,5721,
'0:0:51.45,5714,
'0:0:51.5,5707,
'0:0:51.55,5702,
'0:0:51.6,5698,
'0:0:51.65,5692,
'0:0:51.7,5687,
'0:0:51.75,5684,
'0:0:51.8,5683,
'0:0:51.85,5683,
'0:0:51.9,5682,
'0:0:51.95,5681,
'0:0:52.0,5678,
'0:0:52.05,5676,
'0:0:52.1,5677,
'0:0:52.15,5676,
