,Experiment name:,Sample experiment
Duration:,1 0,
Rate:,20 per second,
Sensors:,Respiration (ID 1  Exp 1),
Range:,Arb,
Units:,Arb,
Time,Count,
'0:0:36.45,6130,
'0:0:36.5,6148,
'0:0:36.55,6163,
'0:0:36.6,6175,
'0:0:36.65,6186,
'0:0:36.7,6200,
'0:0:36.75,6213,
'0:0:36.8,6223,
'0:0:36.85,6230,
'0:0:36.9,6239,
'0:0:36.95,6248,
'0:0:37.0,6257,
'0:0:37.05,6262,
'0:0:37.1,6263,
'0:0:37.15,6257,
'0:0:37.2,6246,
'0:0:37.25,6236,
'0:0:37.3,6226,
'0:0:37.35,6214,
'0:0:37.4,6198,
'0:0:37.45,6180,
'0:0:37.5,6164,
'0:0:37.55,6153,
'0:0:37.6,6142,
'0:0:37.65,6130,
'0:0:37.7,6118,
'0:0:37.75,6105,
'0:0:37.8,6091,
'0:0:37.85,6083,
'0:0:37.9,6074,
'0:0:37.95,6063,
'0:0:38.0,6053,
'0:0:38.05,6046,
'0:0:38.1,6042,
'0:0:38.15,6039,
'0:0:38.2,6035,
'0:0:38.25,6031,
'0:0:38.3,6026,
'0:0:38.35,6021,
'0:0:38.4,6018,
'0:0:38.45,6016,
'0:0:38.5,6013,
'0:0:38.55,6013,
'0:0:38.6,6013,
'0:0:38.65,6014,
'0:0:38.7,6015,
'0:0:38.75,6016,
'0:0:38.8,6015,
'0:0:38.85,6013,
'0:0:38.9,6010,
'0:0:38.95,6009,
'0:0:39.0,6010,
'0:0:39.05,6011,
'0:0:39.1,6012,
'0:0:39.15,6015,
'0:0:39.2,6019,
'0:0:39.25,6025,
'0:0:39.3,6034,
'0:0:39.35,6044,
'0:0:39.4,6055,
'0:0:39.45,6062,
'0:0:39.5,6068,
'0:0:39.55,6078,
'0:0:39.6,6088,
'0:0:39.65,6094,
'0:0:39.7,6102,
'0:0:39.75,6113,
'0:0:39.8,6128,
'0:0:39.85,6143,
'0:0:39.9,6158,
'0:0:39.95,6174,
'0:0:40.0,6191,
'0:0:40.05,6203,
'0:0:40.1,6215,
'0:0:40.15,6226,
'0:0:40.2,6237,
'0:0:40.25,6245,
'0:0:40.3,6254,
'0:0:40.35,6266,
'0:0:40.4,6276,
'0:0:40.45,6278,
'0:0:40.5,6273,
'0:0:40.55,6268,
'0:0:40.6,6257,
'0:0:40.65,6244,
'0:0:40.7,6232,
'0:0:40.75,6220,
'0:0:40.8,6201,
'0:0:40.85,6186,
'0:0:40.9,6174,
'0:0:40.95,6166,
'0:0:41.0,6157,
'0:0:41.05,6146,
'0:0:41.1,6136,
'0:0:41.15,6124,
'0:0:41.2,6109,
'0:0:41.25,6100,
'0:0:41.3,6092,
'0:0:41.35,6081,
'0:0:41.4,6068,
'0:0:41.45,6059,
'0:0:41.5,6053,
'0:0:41.55,6048,
'0:0:41.6,6043,
'0:0:41.65,6037,
'0:0:41.7,6031,
'0:0:41.75,6025,
'0:0:41.8,6020,
'0:0:41.85,6019,
'0:0:41.9,6017,
'0:0:41.95,6015,
'0:0:42.0,6014,
'0:0:42.05,6014,
'0:0:42.1,6016,
'0:0:42.15,6018,
'0:0:42.2,6017,
'0:0:42.25,6015,
'0:0:42.3,6013,
'0:0:42.35,6011,
'0:0:42.4,6011,
'0:0:42.45,6011,
'0:0:42.5,6010,
'0:0:42.55,6012,
'0:0:42.6,6014,
'0:0:42.65,6016,
'0:0:42.7,6020,
'0:0:42.75,6024,
'0:0:42.8,6029,
'0:0:42.85,6034,
'0:0:42.9,6039,
'0:0:42.95,6045,
'0:0:43.0,6055,
'0:0:43.05,6063,
'0:0:43.1,6071,
'0:0:43.15,6081,
'0:0:43.2,6095,
'0:0:43.25,6110,
'0:0:43.3,6127,
'0:0:43.35,6143,
'0:0:43.4,6160,
'0:0:43.45,6172,
'0:0:43.5,6181,
'0:0:43.55,6191,
'0:0:43.6,6204,
'0:0:43.65,6213,
'0:0:43.7,6222,
'0:0:43.75,6231,
