,Experiment name:,Sample experiment
Duration:,1 0
Rate:,20 per second
Sensors:,Pulse (ID 1  Exp 1),Respiration (ID 1  Exp 1)
Range:,Wave,Arb
Units:,Arb,Arb
Time
'0:0:44.0,349,1078
'0:0:44.05,353,1094
'0:0:44.1,378,1112
'0:0:44.15,387,1128
'0:0:44.2,369,1143
'0:0:44.25,353,1154
'0:0:44.3,353,1168
'0:0:44.35,361,1187
'0:0:44.4,362,1214
'0:0:44.45,355,1239
'0:0:44.5,352,1263
'0:0:44.55,351,1280
'0:0:44.6,351,1299
'0:0:44.65,351,1311
'0:0:44.7,355,1321
'0:0:44.75,379,1332
'0:0:44.8,382,1338
'0:0:44.85,364,1337
'0:0:44.9,351,1331
'0:0:44.95,354,1328
'0:0:45.0,363,1329
'0:0:45.05,362,1333
'0:0:45.1,354,1340
'0:0:45.15,351,1342
'0:0:45.2,353,1342
'0:0:45.25,353,1337
'0:0:45.3,354,1325
'0:0:45.35,371,1314
'0:0:45.4,389,1307
'0:0:45.45,379,1297
'0:0:45.5,358,1280
'0:0:45.55,351,1263
'0:0:45.6,358,1251
'0:0:45.65,366,1241
'0:0:45.7,359,1232
'0:0:45.75,354,1223
'0:0:45.8,351,1208
'0:0:45.85,352,1192
'0:0:45.9,352,1166
'0:0:45.95,362,1136
'0:0:46.0,389,1109
'0:0:46.05,386,1087
'0:0:46.1,365,1063
'0:0:46.15,353,1040
'0:0:46.2,357,1018
'0:0:46.25,365,1007
'0:0:46.3,363,1000
'0:0:46.35,357,997
'0:0:46.4,351,993
'0:0:46.45,352,985
'0:0:46.5,351,977
'0:0:46.55,355,968
'0:0:46.6,381,955
'0:0:46.65,394,948
'0:0:46.7,378,943
'0:0:46.75,362,937
'0:0:46.8,357,928
'0:0:46.85,361,920
'0:0:46.9,363,913
'0:0:46.95,359,909
'0:0:47.0,350,905
'0:0:47.05,350,899
'0:0:47.1,349,894
'0:0:47.15,350,891
'0:0:47.2,364,885
'0:0:47.25,391,880
'0:0:47.3,385,878
'0:0:47.35,368,879
'0:0:47.4,355,880
'0:0:47.45,358,878
'0:0:47.5,363,876
'0:0:47.55,359,875
'0:0:47.6,354,873
'0:0:47.65,351,873
'0:0:47.7,353,870
'0:0:47.75,352,868
'0:0:47.8,352,867
'0:0:47.85,371,864
'0:0:47.9,390,864
'0:0:47.95,380,866
'0:0:48.0,362,870
'0:0:48.05,355,872
'0:0:48.1,358,875
'0:0:48.15,362,875
'0:0:48.2,356,875
'0:0:48.25,351,878
'0:0:48.3,349,885
'0:0:48.35,349,892
'0:0:48.4,350,903
'0:0:48.45,352,917
'0:0:48.5,370,931
'0:0:48.55,387,944
'0:0:48.6,375,958
'0:0:48.65,358,971
'0:0:48.7,352,984
'0:0:48.75,358,996
'0:0:48.8,361,1008
'0:0:48.85,356,1020
'0:0:48.9,351,1036
'0:0:48.95,350,1053
'0:0:49.0,349,1072
'0:0:49.05,351,1091
'0:0:49.1,352,1110
'0:0:49.15,368,1124
'0:0:49.2,384,1141
'0:0:49.25,372,1160
'0:0:49.3,355,1176
'0:0:49.35,349,1188
'0:0:49.4,358,1203
'0:0:49.45,365,1219
'0:0:49.5,359,1239
'0:0:49.55,352,1259
'0:0:49.6,349,1277
'0:0:49.65,349,1296
'0:0:49.7,350,1309
'0:0:49.75,357,1316
'0:0:49.8,378,1327
'0:0:49.85,376,1335
'0:0:49.9,358,1335
'0:0:49.95,347,1325
'0:0:50.0,352,1312
'0:0:50.05,362,1300
