,Experiment name:,Sample experiment
Duration:,1 0
Rate:,20 per second
Sensors:,Pulse (ID 1  Exp 1),Respiration (ID 1  Exp 1)
Range:,Wave,Arb
Units:,Arb,Arb
Time
'0:0:30.85,353,132
'0:0:30.9,359,132
'0:0:30.95,411,143
'0:0:31.0,437,145
'0:0:31.05,412,154
'0:0:31.1,385,181
'0:0:31.15,379,198
'0:0:31.2,380,189
'0:0:31.25,368,179
'0:0:31.3,354,180
'0:0:31.35,343,189
'0:0:31.4,344,198
'0:0:31.45,347,198
'0:0:31.5,374,188
'0:0:31.55,386,179
'0:0:31.6,377,179
'0:0:31.65,323,168
'0:0:31.7,290,150
'0:0:31.75,307,160
'0:0:31.8,327,169
'0:0:31.85,349,158
'0:0:31.9,349,140
'0:0:31.95,342,125
'0:0:32.0,363,120
'0:0:32.05,402,117
'0:0:32.1,398,114
'0:0:32.15,370,114
'0:0:32.2,352,117
'0:0:32.25,387,130
'0:0:32.3,399,139
'0:0:32.35,370,138
'0:0:32.4,357,154
'0:0:32.45,363,176
'0:0:32.5,382,187
'0:0:32.55,416,198
'0:0:32.6,406,205
'0:0:32.65,366,210
'0:0:32.7,333,216
'0:0:32.75,330,214
'0:0:32.8,329,205
'0:0:32.85,335,201
'0:0:32.9,332,198
'0:0:32.95,288,175
'0:0:33.0,280,156
'0:0:33.05,340,171
'0:0:33.1,375,173
'0:0:33.15,361,163
'0:0:33.2,349,162
'0:0:33.25,358,159
'0:0:33.3,366,155
'0:0:33.35,366,149
'0:0:33.4,367,143
'0:0:33.45,382,153
'0:0:33.5,408,159
'0:0:33.55,421,150
'0:0:33.6,405,162
'0:0:33.65,384,184
'0:0:33.7,376,193
'0:0:33.75,382,198
'0:0:33.8,380,201
'0:0:33.85,366,205
'0:0:33.9,358,216
'0:0:33.95,352,223
'0:0:34.0,358,220
'0:0:34.05,380,207
'0:0:34.1,368,196
'0:0:34.15,343,195
'0:0:34.2,345,195
'0:0:34.25,320,168
'0:0:34.3,304,141
'0:0:34.35,301,147
'0:0:34.4,308,147
'0:0:34.45,308,135
'0:0:34.5,335,133
'0:0:34.55,381,134
'0:0:34.6,378,133
'0:0:34.65,354,133
'0:0:34.7,351,132
'0:0:34.75,362,132
'0:0:34.8,381,142
'0:0:34.85,386,144
'0:0:34.9,371,134
'0:0:34.95,378,145
'0:0:35.0,416,170
'0:0:35.05,433,186
'0:0:35.1,402,191
'0:0:35.15,364,192
'0:0:35.2,350,198
'0:0:35.25,353,211
'0:0:35.3,352,215
'0:0:35.35,345,209
'0:0:35.4,339,201
'0:0:35.45,344,197
'0:0:35.5,388,204
'0:0:35.55,362,190
'0:0:35.6,311,163
'0:0:35.65,289,167
'0:0:35.7,304,175
'0:0:35.75,336,168
'0:0:35.8,350,159
'0:0:35.85,352,151
'0:0:35.9,357,148
'0:0:35.95,375,144
'0:0:36.0,409,138
'0:0:36.05,420,150
'0:0:36.1,404,164
'0:0:36.15,380,169
'0:0:36.2,384,180
'0:0:36.25,391,193
'0:0:36.3,381,197
'0:0:36.35,369,204
'0:0:36.4,361,207
'0:0:36.45,376,210
'0:0:36.5,394,215
'0:0:36.55,371,219
'0:0:36.6,341,218
'0:0:36.65,328,211
'0:0:36.7,338,206
'0:0:36.75,348,202
'0:0:36.8,298,175
'0:0:36.85,265,154
'0:0:36.9,283,167
'0:0:36.95,342,174
'0:0:37.0,366,169
'0:0:37.05,354,166
'0:0:37.1,344,160
'0:0:37.15,354,154
'0:0:37.2,369,145
'0:0:37.25,372,135
'0:0:37.3,365,129
'0:0:37.35,372,130
'0:0:37.4,402,142
'0:0:37.45,425,148
'0:0:37.5,415,158
'0:0:37.55,398,175
'0:0:37.6,390,180
'0:0:37.65,387,184
'0:0:37.7,378,190
'0:0:37.75,365,200
'0:0:37.8,357,211
'0:0:37.85,347,220
'0:0:37.9,354,223
'0:0:37.95,370,218
'0:0:38.0,359,208
'0:0:38.05,349,207
'0:0:38.1,333,198
'0:0:38.15,290,178
'0:0:38.2,276,180
'0:0:38.25,291,193
'0:0:38.3,321,192
'0:0:38.35,339,178
'0:0:38.4,369,168
'0:0:38.45,395,165
'0:0:38.5,385,164
'0:0:38.55,362,160
'0:0:38.6,360,158
'0:0:38.65,390,168
'0:0:38.7,389,173
'0:0:38.75,371,173
'0:0:38.8,380,197
'0:0:38.85,399,219
'0:0:38.9,415,218
'0:0:38.95,411,218
'0:0:39.0,379,224
'0:0:39.05,352,238
'0:0:39.1,344,249
'0:0:39.15,344,243
'0:0:39.2,330,227
'0:0:39.25,320,214
'0:0:39.3,323,216
'0:0:39.35,286,194
'0:0:39.4,306,170
'0:0:39.45,345,178
