,Experiment name:,Sample experiment
Duration:,1 0,
Rate:,20 per second,
Sensors:,Respiration (ID 1  Exp 1),
Range:,Arb,
Units:,Arb,
Time,Count,
'0:0:24.85,2712,
'0:0:24.9,2647,
'0:0:24.95,2597,
'0:0:25.0,2577,
'0:0:25.05,2576,
'0:0:25.1,2547,
'0:0:25.15,2525,
'0:0:25.2,2576,
'0:0:25.25,2625,
'0:0:25.3,2582,
'0:0:25.35,2531,
'0:0:25.4,2534,
'0:0:25.45,2539,
'0:0:25.5,2522,
'0:0:25.55,2467,
'0:0:25.6,2450,
'0:0:25.65,2501,
'0:0:25.7,2515,
'0:0:25.75,2481,
'0:0:25.8,2441,
'0:0:25.85,2411,
'0:0:25.9,2399,
'0:0:25.95,2389,
'0:0:26.0,2334,
'0:0:26.05,2330,
'0:0:26.1,2405,
'0:0:26.15,2431,
'0:0:26.2,2427,
'0:0:26.25,2447,
'0:0:26.3,2503,
'0:0:26.35,2553,
'0:0:26.4,2574,
'0:0:26.45,2632,
'0:0:26.5,2718,
'0:0:26.55,2741,
'0:0:26.6,2750,
'0:0:26.65,2774,
'0:0:26.7,2807,
'0:0:26.75,2802,
'0:0:26.8,2796,
'0:0:26.85,2841,
'0:0:26.9,2887,
'0:0:26.95,2889,
'0:0:27.0,2887,
'0:0:27.05,2902,
'0:0:27.1,2927,
'0:0:27.15,2939,
'0:0:27.2,2938,
'0:0:27.25,2977,
'0:0:27.3,3069,
'0:0:27.35,3155,
'0:0:27.4,3202,
'0:0:27.45,3165,
'0:0:27.5,3092,
'0:0:27.55,3042,
'0:0:27.6,3046,
'0:0:27.65,3090,
'0:0:27.7,3049,
'0:0:27.75,2924,
'0:0:27.8,2813,
'0:0:27.85,2762,
'0:0:27.9,2752,
'0:0:27.95,2759,
'0:0:28.0,2732,
'0:0:28.05,2693,
'0:0:28.1,2695,
'0:0:28.15,2701,
'0:0:28.2,2682,
'0:0:28.25,2657,
'0:0:28.3,2626,
'0:0:28.35,2604,
'0:0:28.4,2570,
'0:0:28.45,2574,
'0:0:28.5,2626,
'0:0:28.55,2618,
'0:0:28.6,2542,
'0:0:28.65,2498,
'0:0:28.7,2501,
'0:0:28.75,2514,
'0:0:28.8,2508,
'0:0:28.85,2469,
'0:0:28.9,2500,
'0:0:28.95,2565,
'0:0:29.0,2553,
'0:0:29.05,2509,
'0:0:29.1,2447,
'0:0:29.15,2406,
'0:0:29.2,2393,
'0:0:29.25,2393,
'0:0:29.3,2461,
'0:0:29.35,2519,
'0:0:29.4,2505,
'0:0:29.45,2496,
'0:0:29.5,2506,
